,カウント　,X,Y,Z,ノルム,閾値1.5,連続消す,ジャーク,J閾値0.4,J閾値0.6,,,,,
1.5454E+12,1,0,0,0,0,0,0,0,0,0,0,,,,37
1.5454E+12,2,0,0,0,0,0,0,0,0,0,0,,,,53
1.5454E+12,3,0,0,0,0,0,0,0,0,0,0,,,,37
1.5454E+12,4,0,0,0,0,0,0,0,0,0,0,,,,6
1.5454E+12,5,0,0,0,0,0,0,0,0,0,0,,,,
1.5454E+12,6,0,0,0,0,0,0,0,0,0,0,,,,
1.5454E+12,7,0,0,0,0,0,0,0,0,0,0,,,,
1.5454E+12,8,-0.996,-0.224,-0.108,1.053856,0,0,1.053856,1,1,1,,,,
1.5454E+12,9,-1.008,-0.236,-0.096,1.080976,0,0,0.02712,0,0,0,,,,
1.5454E+12,10,-1.008,-0.236,-0.096,1.080976,0,0,0,0,0,0,,,,
1.5454E+12,11,-0.976,-0.188,-0.172,1.017504,0,0,-0.063472,0,0,0,,,,
1.5454E+12,12,-0.972,-0.196,-0.128,0.999584,0,0,-0.01792,0,0,0,,,,
1.5454E+12,13,-0.98,-0.164,-0.14,1.006896,0,0,0.007312,0,0,0,,,,
1.5454E+12,14,-1,-0.18,-0.16,1.058,0,0,0.051104,0,0,0,,,,
1.5454E+12,15,-0.972,-0.156,-0.22,1.01752,0,0,-0.04048,0,0,0,,,,
1.5454E+12,16,-0.972,-0.156,-0.22,1.01752,0,0,0,0,0,0,,,,
1.5454E+12,17,-0.996,-0.104,-0.168,1.031056,0,0,0.013536,0,0,0,,,,
1.5454E+12,18,-0.992,0,-0.128,1.000448,0,0,-0.030608,0,0,0,,,,
1.5454E+12,19,-1.084,0.044,-0.116,1.190448,0,0,0.19,0,0,0,,,,
1.5454E+12,20,-1.288,0.06,-0.02,1.662944,1,1,0.472496,1,0,0,,,,
1.5454E+12,21,-1.288,0.06,-0.02,1.662944,1,0,0,0,0,0,,,,
1.5454E+12,22,-0.78,-0.344,0.212,0.77168,0,0,-0.891264,0,0,0,,,,
1.5454E+12,23,-1.044,-0.148,0.004,1.111856,0,0,0.340176,0,0,0,,,,
1.5454E+12,24,-1.012,-0.176,-0.068,1.059744,0,0,-0.052112,0,0,0,,,,
1.5454E+12,25,-0.884,-0.2,-0.18,0.853856,0,0,-0.205888,0,0,0,,,,
1.5454E+12,26,-0.984,0.016,-0.188,1.003856,0,0,0.15,0,0,0,,,,
1.5454E+12,27,-0.912,-0.54,-0.34,1.238944,0,0,0.235088,0,0,0,,,,
1.5454E+12,28,-0.912,-0.54,-0.34,1.238944,0,0,0,0,0,0,,,,
1.5454E+12,29,-1.3,-0.436,-0.032,1.88112,1,1,0.642176,1,1,0,,,,
1.5454E+12,30,-1.04,-0.284,0.204,1.203872,0,0,-0.677248,0,0,0,,,,
1.5454E+12,31,-0.816,-0.244,0.06,0.728992,0,0,-0.47488,0,0,0,,,,
1.5454E+12,32,-1.012,-0.028,0.032,1.025952,0,0,0.29696,0,0,0,,,,
1.5454E+12,33,-0.872,-0.064,-0.008,0.764544,0,0,-0.261408,0,0,0,,,,
1.5454E+12,34,-0.872,-0.064,-0.008,0.764544,0,0,0,0,0,0,,,,
1.5454E+12,35,-1.232,0.032,-0.184,1.552704,1,1,0.78816,1,1,0,,,,
1.5454E+12,36,-1.372,-0.22,-0.004,1.9308,1,0,0.378096,0,0,0,,,,
1.5454E+12,37,-1.16,-0.416,0.08,1.525056,1,0,-0.405744,0,0,0,,,,
1.5454E+12,38,-0.652,-0.052,-0.064,0.431904,0,0,-1.093152,0,0,0,,,,
1.5454E+12,39,-0.796,-0.312,0,0.73096,0,0,0.299056,0,0,0,,,,
1.5454E+12,40,-0.796,-0.312,0,0.73096,0,0,0,0,0,0,,,,
1.5454E+12,41,-0.924,-0.244,-0.244,0.972848,0,0,0.241888,0,0,0,,,,
1.5454E+12,42,-1.016,-0.152,-0.232,1.109184,0,0,0.136336,0,0,0,,,,
1.5454E+12,43,-1.588,-0.788,0.276,3.218864,1,1,2.10968,1,1,0,,,,
1.5454E+12,44,-1.056,-0.124,-0.04,1.132112,0,0,-2.086752,0,0,0,,,,
1.5454E+12,45,-0.74,-0.22,0.012,0.596144,0,0,-0.535968,0,0,0,,,,
1.5454E+12,46,-0.74,-0.22,0.012,0.596144,0,0,0,0,0,0,,,,
1.5454E+12,47,-0.904,0.072,-0.124,0.837776,0,0,0.241632,0,0,0,,,,
1.5454E+12,48,-0.884,-0.048,-0.12,0.79816,0,0,-0.039616,0,0,0,,,,
1.5454E+12,49,-1.132,-0.148,-0.292,1.388592,0,0,0.590432,1,0,0,,,,
1.5454E+12,50,-1.448,-0.06,0.164,2.1272,1,1,0.738608,1,1,0,,,,
1.5454E+12,51,-1.268,0.196,-0.032,1.647264,1,0,-0.479936,0,0,0,,,,
1.5454E+12,52,-1.268,0.196,-0.032,1.647264,1,0,0,0,0,0,,,,
1.5454E+12,53,-0.796,-0.044,-0.004,0.635568,0,0,-1.011696,0,0,0,,,,
1.5454E+12,54,-0.988,-0.076,-0.028,0.982704,0,0,0.347136,0,0,0,,,,
1.5454E+12,55,-0.884,-0.1,0.028,0.79224,0,0,-0.190464,0,0,0,,,,
1.5454E+12,56,-0.84,-0.124,0.088,0.72872,0,0,-0.06352,0,0,0,,,,
1.5454E+12,57,-1.276,-0.208,0.648,2.091344,1,1,1.362624,1,1,0,,,,
1.5454E+12,58,-1.276,-0.208,0.648,2.091344,1,0,0,0,0,0,,,,
1.5454E+12,59,-1.204,0.012,0.104,1.460576,0,0,-0.630768,0,0,0,,,,
1.5454E+12,60,-0.856,-0.084,0.096,0.749008,0,0,-0.711568,0,0,0,,,,
1.5454E+12,61,-1.144,0.012,0,1.30888,0,0,0.559872,1,0,0,,,,
1.5454E+12,62,-0.992,0.064,-0.008,0.988224,0,0,-0.320656,0,0,0,,,,
1.5454E+12,63,-0.992,0.064,-0.008,0.988224,0,0,0,0,0,0,,,,
1.5454E+12,64,-0.856,0.036,-0.06,0.737632,0,0,-0.250592,0,0,0,,,,
1.5454E+12,65,-0.968,0.172,-0.056,0.969744,0,0,0.232112,0,0,0,,,,
1.5454E+12,66,-0.948,0.1,-0.204,0.95032,0,0,-0.019424,0,0,0,,,,
1.5454E+12,67,-1.032,0.108,-0.072,1.081872,0,0,0.131552,0,0,0,,,,
